participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.trust_choice,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
84,v4bl1a2y,65819ebb9baf5002d202f320,0,29,29,Thanks,MyPage,2024-03-20 15:22:15.771083,1,,,150.0,84,,0.0,2,1,1,slvfalvu,,,,,0
85,o4hrvxlj,63312f0451ba56e5a520eb62,0,4,29,Intro_ST,GameIntroPage,2024-03-20 15:22:29.397380,1,,,0.0,85,,0.0,,1,1,slvfalvu,,,,,0
86,xc2lcfae,572d05c688902e00091e4a2c,0,29,29,Thanks,MyPage,2024-03-20 15:22:58.131026,1,,,150.0,86,,0.0,4,1,1,slvfalvu,,,,,0
87,55amia1f,63bed6e176fba857a47fbaff,0,6,29,Intro_ST,TestPage,2024-03-20 15:22:58.533058,1,,,0.0,87,,0.0,,1,1,slvfalvu,,,,,0
88,sjjpj6jb,55bc1119fdf99b5693f3ec47,0,29,29,Thanks,MyPage,2024-03-20 15:23:00.313809,1,,,200.0,88,,0.0,2,1,1,slvfalvu,,,,,0
89,7zge4ebs,65f45946f2b97b9d40761ce1,0,29,29,Thanks,MyPage,2024-03-20 15:23:09.345003,1,,,200.0,89,,0.0,4,1,1,slvfalvu,,,,,0
90,yxuw4ikb,5ec00f62cf12be40ea6fe344,0,29,29,Thanks,MyPage,2024-03-20 15:23:10.154677,1,,,150.0,90,,0.0,2,1,1,slvfalvu,,,,,0
91,py63kb6s,62bb42e2f21cfdb280cc975f,0,29,29,Thanks,MyPage,2024-03-20 15:23:35.557773,1,,,200.0,91,,0.0,2,1,1,slvfalvu,,,,,0
92,gc3n0mwt,57210674951c9b0011d3eaaa,0,29,29,Thanks,MyPage,2024-03-20 15:23:54.146325,1,,,150.0,92,,0.0,4,1,1,slvfalvu,,,,,0
93,tuicrf2r,5db4f0b63e33f2000dd54016,0,29,29,Thanks,MyPage,2024-03-20 15:24:14.010961,1,,,50.0,93,,0.0,2,1,1,slvfalvu,,,,,0
94,vjjuhbs9,5c78b032419dcc0014119082,0,29,29,Thanks,MyPage,2024-03-20 15:24:35.657896,1,,,150.0,94,,0.0,5,1,1,slvfalvu,,,,,0
