participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.pid,player.is_coop,player.action,player.partner_action,player.rt,player.is_dropout,player.condition,group.id_in_subsession,group.has_dropout,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
121,whysnqn8,,0,0,32,,,,0,,,0.0,121,,0.0,,,Not yet,Not yet,,0,SQ,1,0,1,7reoo3kl,,,,,0
122,6v5mjig6,,0,0,32,,,,0,,,0.0,122,,0.0,,,Not yet,Not yet,,0,SQ,1,0,1,7reoo3kl,,,,,0
123,t2k7lels,,0,0,32,,,,0,,,0.0,123,,0.0,,,Not yet,Not yet,,0,SQ,1,0,1,7reoo3kl,,,,,0
124,hylhdk0d,,0,0,32,,,,0,,,0.0,124,,0.0,,,Not yet,Not yet,,0,SQ,1,0,1,7reoo3kl,,,,,0
125,8v2himc3,,0,0,32,,,,0,,,0.0,125,,0.0,,,Not yet,Not yet,,0,SQ,1,0,1,7reoo3kl,,,,,0
126,esd7rtfh,,0,0,32,,,,0,,,0.0,126,,0.0,,,Not yet,Not yet,,0,SQ,1,0,1,7reoo3kl,,,,,0
127,t3kxxe1w,,0,0,32,,,,0,,,0.0,127,,0.0,,,Not yet,Not yet,,0,SQ,1,0,1,7reoo3kl,,,,,0
128,u0g1cuui,,0,0,32,,,,0,,,0.0,128,,0.0,,,Not yet,Not yet,,0,SQ,1,0,1,7reoo3kl,,,,,0
129,0tgggobc,,0,0,32,,,,0,,,0.0,129,,0.0,,,Not yet,Not yet,,0,SQ,1,0,1,7reoo3kl,,,,,0
130,hffjep6u,,0,0,32,,,,0,,,0.0,130,,0.0,,,Not yet,Not yet,,0,SQ,1,0,1,7reoo3kl,,,,,0
1,n86hlqxj,63c515f70542e2ff1937031b,0,1,32,Consent_general,ConsentPage,2024-03-20 18:03:48.233308,1,,,0.0,1,,0.0,,,Not yet,Not yet,,0,SQ,1,0,1,pwzoezhd,,,,,0
2,yihs8alq,5c36e40e299f82000103ce0a,0,32,32,Thanks,MyPage,2024-03-20 18:13:33.600148,1,,,100.0,2,,100.0,,0,Keep,Keep,3.298,0,SQ,14,0,1,pwzoezhd,,,,,0
3,5j1v6y3e,5ededc7ab3595e17ef9533df,0,32,32,Thanks,MyPage,2024-03-20 18:13:34.305039,1,,,200.0,2,,200.0,,0,Keep,Invest,2.91,0,SQ,4,0,1,pwzoezhd,,,,,0
4,q5gs8h3w,5fd66ce8aec66457ff73d743,0,32,32,Thanks,MyPage,2024-03-20 18:13:37.329571,1,,,100.0,1,,100.0,,0,Keep,Keep,1.88,0,SQ,8,0,1,pwzoezhd,,,,,0
5,iomxvefl,610729d5507a50dd1db1246f,0,32,32,Thanks,MyPage,2024-03-20 18:13:40.061065,1,,,150.0,1,,150.0,,1,Invest,Invest,1.188,0,SQ,11,0,1,pwzoezhd,,,,,0
6,4n7x17jz,604011377e5b121dc3267a3e,0,32,32,Thanks,MyPage,2024-03-20 18:13:40.313271,1,,,100.0,1,,100.0,,0,Keep,Keep,17.328,0,SQ,7,0,1,pwzoezhd,,,,,0
7,cbrgqi2g,6579d5a22e0a15c71dd52086,0,32,32,Thanks,MyPage,2024-03-20 18:13:40.792226,1,,,100.0,1,,100.0,,0,Keep,Keep,2.163,0,SQ,12,0,1,pwzoezhd,,,,,0
8,u12bdjv8,5dc474fd45b8f933f16d6241,0,32,32,Thanks,MyPage,2024-03-20 18:13:41.203952,1,,,150.0,2,,150.0,,1,Invest,Invest,4.485,0,SQ,9,0,1,pwzoezhd,,,,,0
9,qmds2f0j,6584aa4023ce9a5ec9b7dd37,0,32,32,Thanks,MyPage,2024-03-20 18:13:46.494872,1,,,100.0,2,,100.0,,0,Keep,Keep,10.213,0,SQ,5,0,1,pwzoezhd,,,,,0
10,vavexrgu,1380OT7312ym9Z9LD9q9nO67,0,1,32,Consent_general,ConsentPage,2024-03-20 18:13:48.480520,1,,,0.0,10,,0.0,,,Not yet,Not yet,,0,SQ,1,0,1,pwzoezhd,,,,,0
11,t0ffhnvy,5fbb2540b981f7c1e0fca5ff,0,32,32,Thanks,MyPage,2024-03-20 18:13:48.929715,1,,,150.0,2,,150.0,,1,Invest,Invest,19.767,0,SQ,18,0,1,pwzoezhd,,,,,0
12,1zehc2ue,63f794e7d8d24753edbbb136,0,32,32,Thanks,MyPage,2024-03-20 18:13:49.659770,1,,,150.0,2,,150.0,,1,Invest,Invest,2.559,0,SQ,26,0,1,pwzoezhd,,,,,0
13,eme7al2e,60dfd857e293a99dd577f4c8,0,32,32,Thanks,MyPage,2024-03-20 18:13:51.795649,1,,,150.0,1,,150.0,,1,Invest,Invest,2.857,0,SQ,20,0,1,pwzoezhd,,,,,0
14,ws5ticbh,63e5a6690eeedc20da056717,0,32,32,Thanks,MyPage,2024-03-20 18:13:52.897113,1,,,100.0,2,,100.0,,0,Keep,Keep,3.601,0,SQ,7,0,1,pwzoezhd,,,,,0
15,wuxz124y,64509bfcd8d8b7e61f801e95,0,2,32,Consent_general,GeneralIntroPage,2024-03-20 18:13:53.090515,1,,,0.0,15,,0.0,,,Not yet,Not yet,,0,SQ,1,0,1,pwzoezhd,,,,,0
16,wvayrwqx,5e9893ed5638a10bda112333,0,32,32,Thanks,MyPage,2024-03-20 18:13:53.491841,1,,,50.0,1,,50.0,,1,Invest,Keep,1.004,0,SQ,4,0,1,pwzoezhd,,,,,0
17,qqslg1cv,65b574d703587ccea5f0b519,0,32,32,Thanks,MyPage,2024-03-20 18:13:53.731495,1,,,150.0,1,,150.0,,1,Invest,Invest,5.993,0,SQ,24,0,1,pwzoezhd,,,,,0
18,tdnxp2ca,13g0O7731EymlZ97DL695667,0,1,32,Consent_general,ConsentPage,2024-03-20 18:13:54.992797,1,,,0.0,18,,0.0,,,Not yet,Not yet,,0,SQ,1,0,1,pwzoezhd,,,,,0
19,3x34p1uk,5f6fd1451758e95a989623b2,0,32,32,Thanks,MyPage,2024-03-20 18:13:56.371057,1,,,150.0,1,,150.0,,1,Invest,Invest,5.486,0,SQ,18,0,1,pwzoezhd,,,,,0
20,mhtz5gzl,63d42902a85ae3e7b4920266,0,32,32,Thanks,MyPage,2024-03-20 18:13:57.674396,1,,,100.0,2,,100.0,,0,Keep,Keep,3.093,0,SQ,3,0,1,pwzoezhd,,,,,0
21,4optml96,5de260b9553cee28d97b058d,0,32,32,Thanks,MyPage,2024-03-20 18:13:58.787659,1,,,150.0,1,,150.0,,1,Invest,Invest,2.111,0,SQ,6,0,1,pwzoezhd,,,,,0
22,5kohklmf,56c113f6eb5b22000d5baa6f,0,4,32,Intro_SQ,GameIntroPage,2024-03-20 18:13:59.552439,1,,,0.0,22,,0.0,,,Not yet,Not yet,,0,SQ,1,0,1,pwzoezhd,,,,,0
23,f802i5oo,5b997f71eee17800012d747a,0,32,32,Thanks,MyPage,2024-03-20 18:14:00.968112,1,,,100.0,2,,100.0,,0,Keep,Keep,5.846,0,SQ,12,0,1,pwzoezhd,,,,,0
24,vmjrt53e,56875435369319000c26947d,0,32,32,Thanks,MyPage,2024-03-20 18:14:02.936085,1,,,200.0,2,,200.0,,0,Keep,Invest,2.076,0,SQ,2,0,1,pwzoezhd,,,,,0
25,5etm8dp2,5d89106d1719af0001ee23e5,0,32,32,Thanks,MyPage,2024-03-20 18:14:05.361940,1,,,150.0,1,,150.0,,1,Invest,Invest,6.899,0,SQ,19,0,1,pwzoezhd,,,,,0
