Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
63d9570ef983b0e4cc4d6c20,57864d24900cc80001d2de56,APPROVED,2023-01-31T17:59:42.162000Z,2023-01-31T18:18:19.595000Z,2023-02-01T04:41:22.791000,2023-01-31T18:18:19.974283Z,1118,C1MW0K8M,1835,44,Male,Asian,Guyana,United States,United States,English,No,Full-Time
63d9570f8455ae86580207be,5fdfb7d6e1442280fc095a66,APPROVED,2023-01-31T17:59:49.825000Z,2023-01-31T18:14:25.333000Z,2023-02-01T04:41:22.880000,2023-01-31T18:14:26.072773Z,876,C1MW0K8M,4302,31,Male,White,United States,United States,United States,English,No,Full-Time
63d9570fa3c335fa81f99a0f,6335e35d7a38530d68fd75ca,APPROVED,2023-01-31T17:59:54.771000Z,2023-01-31T18:33:02.012000Z,2023-02-01T04:41:22.983000,2023-01-31T18:33:02.379664Z,1988,C1MW0K8M,431,20,Male,Black,United States,United States,United States,English,Yes,Full-Time
63d9570fc422734ac0a7a9dc,5e1545d9b1fb05b6369d13e8,APPROVED,2023-01-31T18:01:10.274000Z,2023-01-31T18:26:27.566000Z,2023-02-01T04:42:03.745000,2023-01-31T18:26:29.182385Z,1518,CE8ENN8O,3140,47,Female,White,United States,United States,United States,English,No,Full-Time
63d957105d1a3436934135d4,5ba064c10d4416000157a224,APPROVED,2023-01-31T18:03:33.727000Z,2023-01-31T18:23:51.790000Z,2023-02-01T04:41:23.077000,2023-01-31T18:23:55.118491Z,1219,C1MW0K8M,2816,32,Male,Black,United States,United States,United States,English,No,Other
63d957107ba230565a33ede5,5dcdb60be64aaa07c14065cc,APPROVED,2023-01-31T17:59:44.995000Z,2023-01-31T18:17:32.720000Z,2023-02-01T04:41:23.170000,2023-01-31T18:17:33.350405Z,1068,C1MW0K8M,3594,36,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63d957109ab903df1cdc974f,55e5d5fdc70c7a000b2a5bac,APPROVED,2023-01-31T17:59:44.513000Z,2023-01-31T18:37:00.172000Z,2023-02-01T04:41:23.262000,2023-01-31T18:37:00.571133Z,2236,C1MW0K8M,579,42,Female,DATA_EXPIRED,United States,United States,United States,English,No,Full-Time
63d95710a0b4e7a4340b7937,5e42f74f5b772a18434cabf7,APPROVED,2023-01-31T17:59:44.094000Z,2023-01-31T18:42:16.805000Z,2023-02-01T04:41:23.353000,2023-01-31T18:42:21.974101Z,2553,C1MW0K8M,1637,55,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
63d95710fb4c63267bb712f0,57a2b3e1dcff7d0001c7d0dc,APPROVED,2023-01-31T17:59:44.306000Z,2023-01-31T18:11:50.913000Z,2023-02-01T04:41:23.441000,2023-01-31T18:11:51.304671Z,727,C1MW0K8M,1480,29,Female,White,United States,United States,United States,English,No,Other
63d95711e1d68c40e20f0e85,5e836a3c2598d409928dae31,APPROVED,2023-01-31T17:59:47.924000Z,2023-01-31T18:09:52.266000Z,2023-02-01T04:41:23.533000,2023-01-31T18:09:54.384673Z,605,C1MW0K8M,3678,38,Male,White,United States,United States,United States,English,No,Full-Time
63d957120b5e87022f0f0dfc,5d5181fc842e8600171e5a78,APPROVED,2023-01-31T18:00:03.798000Z,2023-01-31T18:17:28.852000Z,2023-02-01T04:41:23.625000,2023-01-31T18:17:29.277220Z,1046,C1MW0K8M,3382,38,Male,White,Italy,United States,United States,English,No,Full-Time
63d9571247597e1e9068eeeb,6365b5599c1775edb6d46be4,APPROVED,2023-01-31T17:59:51.370000Z,2023-01-31T18:27:35.204000Z,2023-02-01T04:41:23.724000,2023-01-31T18:27:35.593593Z,1664,C1MW0K8M,210,24,Female,White,United States,United States,United States,English,Yes,Part-Time
63d95712902968c5387cdf23,5e987098f1bb6707dca13f5b,APPROVED,2023-01-31T17:59:50.860000Z,2023-01-31T18:26:31.453000Z,2023-02-01T04:41:23.822000,2023-01-31T18:26:31.875805Z,1601,C1MW0K8M,2723,56,Female,White,United States,United States,United States,English,No,Full-Time
63d95712f2693bea3e0f1b7c,5cf91ace3bb7c4000162318c,APPROVED,2023-01-31T18:04:24.553000Z,2023-01-31T18:13:38.439000Z,2023-02-01T04:41:23.920000,2023-01-31T18:13:38.812529Z,554,C1MW0K8M,1297,25,Male,White,United States,United States,United States,English,No,Full-Time
63d95712f983b0e4cc4d6c22,5d63179aa3b94d0001da4bb6,APPROVED,2023-01-31T17:59:46.286000Z,2023-01-31T18:15:01.364000Z,2023-02-01T04:41:24.236000,2023-01-31T18:15:01.758860Z,916,C1MW0K8M,3348,59,Female,White,United Kingdom,United States,United States,English,No,Full-Time
63d957135f4a49920fd8e5ce,55b1add5fdf99b6731f04c5a,APPROVED,2023-01-31T17:59:49.476000Z,2023-01-31T18:19:07.978000Z,2023-02-01T04:41:24.329000,2023-01-31T18:19:08.344533Z,1159,C1MW0K8M,3604,43,Female,Black,United States,United States,United States,English,No,DATA_EXPIRED
63d9571464e5b32b8e0f0e0a,61202a222a23700ed108b394,APPROVED,2023-01-31T17:59:48.130000Z,2023-01-31T18:14:25.860000Z,2023-02-01T04:41:24.424000,2023-01-31T18:14:26.191194Z,878,C1MW0K8M,2292,28,Male,White,United States,United States,United States,English,No,Part-Time
63d957148986995f70c9a804,637b04a69794763b20491590,APPROVED,2023-01-31T18:00:41.745000Z,2023-01-31T18:26:28.044000Z,2023-02-01T04:41:24.519000,2023-01-31T18:26:28.454830Z,1547,C1MW0K8M,470,56,Male,White,United States,United States,United States,English,No,Full-Time
63d95714fb71a86e3fd8e5c8,63b7992d848592c307fe1e49,APPROVED,2023-01-31T17:59:52.724000Z,2023-01-31T18:15:36.204000Z,2023-02-01T04:41:24.616000,2023-01-31T18:15:36.545841Z,944,C1MW0K8M,200,58,Female,Other,Russian Federation,United States,United States,English,No,Full-Time
63d95715878735e15bf31973,5e13ad514c81b2a01ae4aa9f,APPROVED,2023-01-31T17:59:53.508000Z,2023-01-31T18:10:41.219000Z,2023-02-01T04:41:24.714000,2023-01-31T18:10:41.560581Z,648,C1MW0K8M,3161,35,Female,White,United States,United States,United States,English,No,Other
63d95715c3c14ace89f99a13,603652c94560a2c97b99a5c5,APPROVED,2023-01-31T17:59:51.452000Z,2023-01-31T18:15:08.012000Z,2023-02-01T04:41:24.807000,2023-01-31T18:15:08.355615Z,917,C1MW0K8M,1615,28,Female,White,United States,United States,United States,English,No,Full-Time
63d95715d4ef14150e950a75,5de96ccf7aeafe09d7e8a74a,APPROVED,2023-01-31T17:59:49.535000Z,2023-01-31T18:17:17.119000Z,2023-02-01T04:41:24.901000,2023-01-31T18:17:17.618396Z,1048,C1MW0K8M,3818,54,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63d9571664bab9831c4d6be6,5ac16e870527ba0001c1f27e,APPROVED,2023-01-31T17:59:50.350000Z,2023-01-31T18:34:52.719000Z,2023-02-01T04:41:24.998000,2023-01-31T18:34:56.262897Z,2103,C1MW0K8M,1263,41,Male,Black,United States,United States,United States,English,No,Full-Time
63d957418cb2b15fcce1857f,610898813e48dc2864965122,APPROVED,2023-01-31T18:00:36.259000Z,2023-01-31T18:10:15.174000Z,2023-02-01T04:41:25.110000,2023-01-31T18:10:15.751255Z,579,C1MW0K8M,2032,26,Male,Mixed,United States,United States,United States,English,No,Unemployed (and job seeking)
63d957680af6289a4ece0d70,5a08663b3b6dfc0001445abe,APPROVED,2023-01-31T18:01:37.350000Z,2023-01-31T18:17:20.778000Z,2023-02-01T04:41:25.210000,2023-01-31T18:17:21.111873Z,944,C1MW0K8M,433,23,Female,White,United States,United States,United States,English,No,Full-Time
63d95823aa9c9b3db9d2d2bf,615efd1df11a7d21f0f12f68,APPROVED,2023-01-31T18:04:23.563000Z,2023-01-31T18:51:21.566000Z,2023-02-01T04:42:03.822000,2023-01-31T18:51:23.424686Z,2819,CE8ENN8O,2467,24,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63d9589f0a6256069b950a62,615ddab1e4f013092538b6c5,APPROVED,2023-01-31T18:06:29.085000Z,2023-01-31T18:36:30.063000Z,2023-02-01T04:41:25.312000,2023-01-31T18:36:30.663277Z,1801,C1MW0K8M,3343,59,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
63d95989e92f83906268ef2c,630cc9747cb664e8a03c29f0,APPROVED,2023-01-31T18:10:33.017000Z,2023-01-31T18:26:45.847000Z,2023-02-01T04:41:25.411000,2023-01-31T18:26:46.205042Z,973,C1MW0K8M,830,34,Male,White,United States,United States,United States,English,No,Full-Time
63d95a1ac2ec0aa81165e481,5f16f559325a640008bb9a07,APPROVED,2023-01-31T18:12:44.021000Z,2023-01-31T18:24:54.072000Z,2023-02-01T04:41:25.521000,2023-01-31T18:24:54.628721Z,731,C1MW0K8M,4212,35,Male,White,United States,United States,United States,English,No,Full-Time
63d960778fdfa39ee389afe1,5eda5ad7cee6c16590433514,RETURNED,2023-01-31T18:40:13.863000Z,2023-01-31T18:59:04.681000Z,,2023-01-31T18:59:05.075000Z,,CE8ENN8O,653,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
